sampleId	accession	fq
BOT14	BOT14-lib-001	/willerslev/datasets/WABI_pipeline/fqs/botai/ERR2531334.collapsed.pe.trim.fq.gz
BOT14	BOT14-lib-002	/willerslev/datasets/WABI_pipeline/fqs/botai/ERR2531336.collapsed.pe.trim.fq.gz
BOT14	BOT14-lib-003	/willerslev/datasets/WABI_pipeline/fqs/botai/ESW_LKRU_BOT14_E1_L1_P1_CTATCA.fq.gz
BOT15	BOT15-lib-001	/willerslev/datasets/WABI_pipeline/fqs/botai/ERR2531317.collapsed.pe.trim.fq.gz
BOT15	BOT15-lib-002	/willerslev/datasets/WABI_pipeline/fqs/botai/ERR2531330.collapsed.pe.trim.fq.gz
BOT15	BOT15-lib-003	/willerslev/datasets/WABI_pipeline/fqs/botai/ERR2531335.collapsed.pe.trim.fq.gz
BOT15	BOT15-lib-004	/willerslev/datasets/WABI_pipeline/fqs/botai/ESW_77DH_BOT15_E2_L1_P1_7_CAGATC.fq.gz
BOT15	BOT15-lib-005	/willerslev/datasets/WABI_pipeline/fqs/botai/ESW_LKRU_BOT15_E1_L1_P1_TAGATG.fq.gz
BOT2016	BOT2016-lib-001	/willerslev/datasets/WABI_pipeline/fqs/botai/ERR2531316.collapsed.pe.trim.fq.gz
BOT2016	BOT2016-lib-002	/willerslev/datasets/WABI_pipeline/fqs/botai/ERR2531321.collapsed.pe.trim.fq.gz
BOT2016	BOT2016-lib-003	/willerslev/datasets/WABI_pipeline/fqs/botai/ERR2531322.collapsed.pe.trim.fq.gz
BOT2016	BOT2016-lib-004	/willerslev/datasets/WABI_pipeline/fqs/botai/ERR2531324.collapsed.pe.trim.fq.gz
BOT2016	BOT2016-lib-005	/willerslev/datasets/WABI_pipeline/fqs/botai/ERR2531325.collapsed.pe.trim.fq.gz
BOT2016	BOT2016-lib-006	/willerslev/datasets/WABI_pipeline/fqs/botai/ERR2531326.collapsed.pe.trim.fq.gz
BOT2016	BOT2016-lib-007	/willerslev/datasets/WABI_pipeline/fqs/botai/ESW_NDQQ_DA375_E1_L1_CAGCTA.fq.gz
BOT2016	BOT2016-lib-008	/willerslev/datasets/WABI_pipeline/fqs/botai/ESW_NDQQ_DA375_E2_L1_CGATGA.fq.gz
BOT2016	BOT2016-lib-009	/willerslev/datasets/WABI_pipeline/fqs/botai/ESW_NDQQ_DA376_E1_L1_ACGCAT.fq.gz
CGG_2_14703	CGG_2_14703-lib-001	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_AEMY_7QAF_CGG2_014703E123L1_S1_R1.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-002	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2A_GTGTAT-GACTTC_L006_R1_001.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-003	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2A_GTGTAT-GACTTC_L007_R1_001.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-004	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2B_CAGCTA-GACTTC_L006_R1_001.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-005	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2B_CAGCTA-GACTTC_L006_R1_002.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-006	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2B_CAGCTA-GACTTC_L007_R1_001.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-007	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2B_CAGCTA-GACTTC_L007_R1_002.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-008	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2C_ACATAC-GACTTC_L006_R1_001.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-009	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2C_ACATAC-GACTTC_L007_R1_001.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-010	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2D_TGAGCC-GACTTC_L006_R1_001.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-011	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2D_TGAGCC-GACTTC_L007_R1_001.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-012	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2E_GCCAAT-TAGCGA_L006_R1_001.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-013	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_MJSU_CGG2_014703_C1_S2E_GCCAAT-TAGCGA_L007_R1_001.trim.fq.gz
